id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Sunlit Polaroids,Indigo Parade,indie pop,happy,0.78,122,0.85,0.74,0.30
11,Concrete Crown,Silver District,hip-hop,confident,0.82,96,0.58,0.84,0.12
12,Backroad Letters,Willow & Pine,country,nostalgic,0.48,84,0.58,0.52,0.88
13,Clair de Lune,Claude Debussy,classical,melancholic,0.30,66,0.34,0.18,0.94
14,Iron Rebellion,Black Forge,metal,angry,0.95,168,0.18,0.32,0.05
15,Island Sidewalks,Coral Roots,reggae,playful,0.68,88,0.82,0.84,0.55
16,Autumn Window,Maple & Hollow,folk,sad,0.32,72,0.28,0.38,0.94
17,Midnight Roses,Sol del Barrio,salsa,romantic,0.84,176,0.88,0.93,0.32
18,Starlight Surge,Aurora Pulse,EDM,euphoric,0.94,132,0.90,0.82,0.04
